,attraction_name,attraction_link,attraction_rating,attraction_type
38,Lincoln Center for the Performing Arts,https://www.tripadvisor.com/Attraction_Review-g60763-d136028-Reviews-Lincoln_Center_for_the_Performing_Arts-New_York_City_New_York.html,4.5,Theaters
39,Woolworth Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104368-Reviews-Woolworth_Building-New_York_City_New_York.html,4.5,Architectural Buildings
40,Conservatory Garden,https://www.tripadvisor.com/Attraction_Review-g60763-d272517-Reviews-Conservatory_Garden-New_York_City_New_York.html,4.5,Gardens
41,Rubin Museum of Art,https://www.tripadvisor.com/Attraction_Review-g60763-d548703-Reviews-Rubin_Museum_of_Art-New_York_City_New_York.html,4.5,Art Museums
42,Macy's Thanksgiving Day Parade,https://www.tripadvisor.com/Attraction_Review-g60763-d8820290-Reviews-Macy_s_Thanksgiving_Day_Parade-New_York_City_New_York.html,4.5,Cultural Events
43,Lower Manhattan,https://www.tripadvisor.com/Attraction_Review-g60763-d607078-Reviews-Lower_Manhattan-New_York_City_New_York.html,4.5,Neighborhoods
44,Tenement Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d104369-Reviews-Tenement_Museum-New_York_City_New_York.html,4.5,Specialty Museums
45,Fort Tryon Park,https://www.tripadvisor.com/Attraction_Review-g60763-d2305249-Reviews-Fort_Tryon_Park-New_York_City_New_York.html,4.5,Parks
46,Greenwich Village,https://www.tripadvisor.com/Attraction_Review-g60763-d143367-Reviews-Greenwich_Village-New_York_City_New_York.html,4.5,Neighborhoods
47,Gulliver's Gate,https://www.tripadvisor.com/Attraction_Review-g60763-d12291624-Reviews-Gulliver_s_Gate-New_York_City_New_York.html,4.5,Science Museums
48,Merchant's House Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d285699-Reviews-Merchant_s_House_Museum-New_York_City_New_York.html,4.5,History Museums
49,Broadway Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d2155542-Reviews-Broadway_Theatre-New_York_City_New_York.html,4.5,Theaters
50,Times Square Church,https://www.tripadvisor.com/Attraction_Review-g60763-d3339075-Reviews-Times_Square_Church-New_York_City_New_York.html,4.5,Churches & Cathedrals
51,Fifth Avenue,https://www.tripadvisor.com/Attraction_Review-g60763-d110144-Reviews-Fifth_Avenue-New_York_City_New_York.html,4.5,Points of Interest & Landmarks
52,Chrysler Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104360-Reviews-Chrysler_Building-New_York_City_New_York.html,4.5,Architectural Buildings
53,The Oculus,https://www.tripadvisor.com/Attraction_Review-g60763-d10340693-Reviews-The_Oculus-New_York_City_New_York.html,4.5,Monuments & Statues
54,Circle In The Square Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d548875-Reviews-Circle_In_The_Square_Theatre-New_York_City_New_York.html,4.5,Theaters
55,The Roosevelt Island Tramway,https://www.tripadvisor.com/Attraction_Review-g60763-d548557-Reviews-The_Roosevelt_Island_Tramway-New_York_City_New_York.html,4.5,Tramways
56,"Intrepid Sea, Air & Space Museum",https://www.tripadvisor.com/Attraction_Review-g60763-d143358-Reviews-Intrepid_Sea_Air_Space_Museum-New_York_City_New_York.html,4.5,Specialty Museums
57,Upper West Side,https://www.tripadvisor.com/Attraction_Review-g60763-d143368-Reviews-Upper_West_Side-New_York_City_New_York.html,4.5,Neighborhoods
58,Hudson River Park,https://www.tripadvisor.com/Attraction_Review-g60763-d4545669-Reviews-Hudson_River_Park-New_York_City_New_York.html,4.5,Parks
59,Beacon Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d535076-Reviews-Beacon_Theatre-New_York_City_New_York.html,4.5,Theaters
60,Chrysler Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104360-Reviews-Chrysler_Building-New_York_City_New_York.html,4.5,Architectural Buildings
61,CSI: The Experience,https://www.tripadvisor.com/Attraction_Review-g60763-d2414461-Reviews-CSI_The_Experience-New_York_City_New_York.html,3.0,Specialty Museums
62,Frick Collection,https://www.tripadvisor.com/Attraction_Review-g60763-d107466-Reviews-Frick_Collection-New_York_City_New_York.html,5.0,Art Museums
63,SoHo,https://www.tripadvisor.com/Attraction_Review-g60763-d143362-Reviews-SoHo-New_York_City_New_York.html,4.5,Neighborhoods
