,attraction_name,attraction_link,attraction_rating,attraction_type,attraction_rank,attraction_duration,attraction_lat,attraction_lng
32,West Village,https://www.tripadvisor.com/Attraction_Review-g60763-d5550170-Reviews-West_Village-New_York_City_New_York.html,4.5,Neighborhoods,33,0.5,40.735781,-74.0035709
33,New York City Ballet (NYCB),https://www.tripadvisor.com/Attraction_Review-g60763-d555633-Reviews-New_York_City_Ballet_NYCB-New_York_City_New_York.html,4.5,Art,34,0.5,40.77197049999999,-73.9837132
34,Lincoln Center for the Performing Arts,https://www.tripadvisor.com/Attraction_Review-g60763-d136028-Reviews-Lincoln_Center_for_the_Performing_Arts-New_York_City_New_York.html,4.5,Art,35,2.5,40.7724641,-73.9834889
35,Woolworth Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104368-Reviews-Woolworth_Building-New_York_City_New_York.html,4.5,Neighborhoods,36,1.5,40.71243,-74.0083547
36,Conservatory Garden,https://www.tripadvisor.com/Attraction_Review-g60763-d272517-Reviews-Conservatory_Garden-New_York_City_New_York.html,4.5,Parks,37,0.5,40.7937474,-73.9524239
37,Rubin Museum of Art,https://www.tripadvisor.com/Attraction_Review-g60763-d548703-Reviews-Rubin_Museum_of_Art-New_York_City_New_York.html,4.5,Museum,38,1.5,40.7400671,-73.9977244
38,Lower Manhattan,https://www.tripadvisor.com/Attraction_Review-g60763-d607078-Reviews-Lower_Manhattan-New_York_City_New_York.html,4.5,Neighborhoods,39,0.5,40.7218345,-73.9998354
39,Tenement Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d104369-Reviews-Tenement_Museum-New_York_City_New_York.html,4.5,Museum,40,1.5,40.7187958,-73.99006969999999
40,Fort Tryon Park,https://www.tripadvisor.com/Attraction_Review-g60763-d2305249-Reviews-Fort_Tryon_Park-New_York_City_New_York.html,4.5,Parks,41,0.5,40.8625608,-73.9312995
41,Gulliver's Gate,https://www.tripadvisor.com/Attraction_Review-g60763-d12291624-Reviews-Gulliver_s_Gate-New_York_City_New_York.html,4.5,Museum,42,1.5,40.757584,-73.986995
42,Merchant's House Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d285699-Reviews-Merchant_s_House_Museum-New_York_City_New_York.html,4.5,Museum,43,1.5,40.72766499999999,-73.99234
43,Broadway Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d2155542-Reviews-Broadway_Theatre-New_York_City_New_York.html,4.5,Art,44,0.5,40.7632778,-73.9831593
44,Times Square Church,https://www.tripadvisor.com/Attraction_Review-g60763-d3339075-Reviews-Times_Square_Church-New_York_City_New_York.html,4.5,Religious Sites,45,0.5,40.7623417,-73.98393879999999
45,Fifth Avenue,https://www.tripadvisor.com/Attraction_Review-g60763-d110144-Reviews-Fifth_Avenue-New_York_City_New_York.html,4.5,Landmark,46,0.5,40.7744146,-73.9656177
46,Chrysler Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104360-Reviews-Chrysler_Building-New_York_City_New_York.html,4.5,Neighborhoods,47,0.5,40.7516208,-73.97550199999999
47,Circle In The Square Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d548875-Reviews-Circle_In_The_Square_Theatre-New_York_City_New_York.html,4.5,Art,48,0.5,40.762108,-73.984764
48,The Roosevelt Island Tramway,https://www.tripadvisor.com/Attraction_Review-g60763-d548557-Reviews-The_Roosevelt_Island_Tramway-New_York_City_New_York.html,4.5,Neighborhoods,49,0.5,40.7612161,-73.9642289
49,Upper West Side,https://www.tripadvisor.com/Attraction_Review-g60763-d143368-Reviews-Upper_West_Side-New_York_City_New_York.html,4.5,Neighborhoods,50,0.5,40.7870106,-73.9753676
50,Hudson River Park,https://www.tripadvisor.com/Attraction_Review-g60763-d4545669-Reviews-Hudson_River_Park-New_York_City_New_York.html,4.5,Parks,51,0.5,40.7331168,-74.0108977
51,Beacon Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d535076-Reviews-Beacon_Theatre-New_York_City_New_York.html,4.5,Art,52,0.5,40.7805136,-73.9810847
52,CSI: The Experience,https://www.tripadvisor.com/Attraction_Review-g60763-d2414461-Reviews-CSI_The_Experience-New_York_City_New_York.html,3.0,Museum,53,0.5,40.757707,-73.9872367
53,Frick Collection,https://www.tripadvisor.com/Attraction_Review-g60763-d107466-Reviews-Frick_Collection-New_York_City_New_York.html,5.0,Museum,54,0.5,40.771209,-73.9673991
